Semana,Lunes,Martes,Miércoles,Jueves,Viernes,Mes,observación
21,6,7,8,9,10,July,Inicio segundo semestre (6 de julio)
22,13,14,15,16,17,July,
23,20,21,22,23,24,July,20 Jul: Día de la Independencia
24,27,28,29,30,31,July,
25,3,4,5,6,7,August,7 Ago: Batalla de Boyacá
26,10,11,12,13,14,August,
27,17,18,19,20,21,August,17 Ago: Asunción de la Virgen
28,24,25,26,27,28,August,
29,31,1,2,3,4,September/August,
30,7,8,9,10,11,September,
31,14,15,16,17,18,September,
32,21,22,23,24,25,September,
33,28,29,30,1,2,October/September,Fin periodo de 13 semanas
Receso,5,6,7,8,9,October,Receso estudiantil (5 al 11 de octubre)
34,12,13,14,15,16,October,12 Oct: Día de la Raza
35,19,20,21,22,23,October,
36,26,27,28,29,30,October,
37,2,3,4,5,6,November,2 Nov: Día de todos los Santos
38,9,10,11,12,13,November,
39,16,17,18,19,20,November,16 Nov: Independencia de Cartagena
40,23,24,25,26,27,November,Último día de clases (27 de noviembre)
